Título;Autores;Autorias compartilhadas;Editores;Editores de livros;Título da fonte;Data de publicação;Ano da publicação;Volume;Edição;Número da edição;Suplemento;Edição especial;Página inicial;Página final;Número do artigo;DOI;Título da conferência;Data da conferência;Total de citações;Média por ano;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Modeling microalgae derived hydrogen production enhancement via genetic modification;"Vargas, J. V. C.; Kava, V.; Balmant, W.; Mariano, A. B.; Ordonez, J. C.";;;;INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;MAY 25 2016;2016;41;19;;;SI;8101;8110;;10.1016/j.ijhydene.2015.12.217;6th International Conference on Progress in Hydrogen Production and Applications (ICH2P);MAY 03-06, 2015;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
Cyclic pressurization assisted extraction of lipids from microalgae for biodiesel production: Non-equilibrium and equilibrium data;"Batista, Gustavo; Surek, Guilherme A. S.; Beninca, Cristina; Corazza, Marcos L.; Zanoelo, Everton F.";;;;FUEL;JAN 1 2016;2016;163;;;;;133;138;;10.1016/j.fuel.2015.09.051;;;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;0;0
Effect of defatted microalgae (Scenedesmus obliquus) biomass inclusion on growth performance of Rhamdia quelen (Quoy & Gaimard, 1824);"Balen, R. E.; Geraldo, E., Jr.; Marques, A. E. M. Luz; Cestari, M. M.; Vargas, J. V. Coelho; Correa, D. De O.; Mariano, A. Bellin; Meurer, F.";;;;JOURNAL OF APPLIED ICHTHYOLOGY;DEC 2015;2015;31;;;4;;98;101;;10.1111/jai.12969;4th International Conference of the Research Network on Amazonian Ichthyofauna;SEP 30-OCT 02, 2014;6;0,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1
PASSIVE BIOSORPTION OF CHROMIUM (VI) USING MICROALGAE Spirulina platensis;"Dal Magro, Clinei; Deon, Maite Carla; Thome, Antonio; Piccin, Jeferson Steffanello; Colla, Luciane Maria";;;;QUIMICA NOVA;2013;2013;36;8;;;;1139;1145;;10.1590/S0100-40422013000800011;;;6;0,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;0
Sustainable production of biodiesel by microalgae and its application in agriculture;"Cenciani, K.; Bittencourt-Oliveira, M. C.; Feigl, B. J.; Cerri, C. C.";;;;AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH;NOV 16 2011;2011;5;26;;;;4638;4645;;10.5897/AJMR11.773;;;6;0,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;1;0
EXTRACTION, PARTIAL CHARACTERIZATION AND SUSCEPTIBILITY TO Hg2+ OF ACID PHOSPHATASE FROM THE MICROALGAE Pseudokirchneriella subcapitata;"Jonsson, Claudio Martin; Aoyama, Hiroshi";;;;SCIENTIA AGRICOLA;2009;2009;66;5;;;;634;642;;10.1590/S0103-90162009000500008;;;6;0,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1
The relevance of the CO2 partial pressure of sodium bicarbonate solutions for the mass cultivation of the microalga Spirulina;"de Alava, D; de Mello, PC; Wagener, K";;;;JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY;SEP-OCT 1997;1997;8;5;;;;447;450;;10.1590/S0103-50531997000500004;;;6;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0
Indigenous microalgae biomass cultivation in continuous reactor with anaerobic effluent: effect of dilution rate on productivity, nutrient removal and bioindicators;"Pereira, Marcos Vinicius; Dassoler, Aline Figueredo; Antunes, Paulo Wagnner; Goncalves, Ricardo Franci; Cassini, Servio Tulio";;;;ENVIRONMENTAL TECHNOLOGY;JUN 19 2020;2020;41;14;;;;1780;1792;;10.1080/09593330.2018.1549105;;;5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
Biomonitoring of urban wastewaters treated by an integrated system combining microalgae and constructed wetlands;"Silveira, Elizandro Oliveira; Lutterbeck, Carlos Alexandre; Machado, Enio Leandro; Rodrigues, Lucia Ribeiro; Rieger, Alexandre; Beckenkamp, Fabia; Lobo, Eduardo Alcayaga";;;;SCIENCE OF THE TOTAL ENVIRONMENT;FEB 25 2020;2020;705;;;;;;;135864;10.1016/j.scitotenv.2019.135864;;;5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Microalgae biomass intake positively modulates serum lipid profile and antioxidant status;"do Nascimento, Tatiele Casagrande; Cazarin, Cinthia B. B.; Marostica Jr, Mario Roberto; Risso, Eder M.; Amaya-Farfan, Jaime; Grimaldi, Renato; Mercadante, Adriana Z.; Jacob-Lopes, Eduardo; Zepka, Leila Q.";;;;JOURNAL OF FUNCTIONAL FOODS;JUL 2019;2019;58;;;;;11;20;;10.1016/j.jff.2019.04.047;;;5;1,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
The effect of bubble size distribution on the release of microalgae proteins by ozone-flotation;"Oliveira, Gislayne Alves; Monje-Ramirez, Ignacio; Carissimi, Elvis; Rodrigues, Rafael Teixeira; Velasquez-Orta, Sharon B.; Chavez Mejia, Alma Concepcion; Orta Ledesma, Maria Teresa";;;;SEPARATION AND PURIFICATION TECHNOLOGY;MAR 18 2019;2019;211;;;;;340;347;;10.1016/j.seppur.2018.10.005;;;5;1,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Biochemical composition of green microalgae Pseudoneochloris marina grown under different temperature and light conditions;"Goncalves, Carolina Ferrer; Menegol, Tania; Rech, Rosane";;;;BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY;MAR 2019;2019;18;;;;;;;101032;10.1016/j.bcab.2019.101032;;;5;1,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
Comparison of extraction techniques for product diversification in a supercritical water gasification-based sugarcane-wet microalgae biorefinery: Thermoeconomic and environmental analysis;"Albarelli, Juliana Q.; Santos, Diego T.; Ensinas, Adriano, V; Marechal, Francois; Cocero, Maria J.; Meireles, M. Angela A.";;;;JOURNAL OF CLEANER PRODUCTION;NOV 10 2018;2018;201;;;;;697;705;;10.1016/j.jclepro.2018.08.137;;;5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
An investigation onto Cd toxicity to freshwater microalga Chlorella sorokiniana in mixotrophy and photoautotrophy: A Bayesian approach;"Marchello, Adriano Evandir; Oliveira, Natalia Lombardi; Lombardi, Ana Teresa; Polpo, Adriano";;;;CHEMOSPHERE;NOV 2018;2018;211;;;;;794;803;;10.1016/j.chemosphere.2018.08.019;;;5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1
Hydrothermal Conversion of Lipid-Extracted Microalgae Hydrolysate in the Presence of Isopropanol and Steel Furnace Residues;"Wagner, Jonathan L.; Perin, Julio; Coelho, Renato Sano; Ting, Valeska P.; Chuck, Christopher J.; Franco, Telma Teixeira";;;;WASTE AND BIOMASS VALORIZATION;OCT 2018;2018;9;10;;;;1867;1879;;10.1007/s12649-017-9944-7;;;5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
Microalgae protein heating in acid/basic solution for nanofibers production by free surface electrospinning;"Moreira, Juliana Botelho; Lim, Loong-Tak; Zavareze, Elessandra da Rosa; Guerra Dias, Alvaro Renato; Vieira Costa, Jorge Alberto; de Morais, Michele Greque";;;;JOURNAL OF FOOD ENGINEERING;AUG 2018;2018;230;;;;;49;54;;10.1016/j.jfoodeng.2018.02.016;;;5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0
Anaerobic phototrophic processes of hydrogen production by different strains of microalgae Chlamydomonas sp;"Vargas, Sarah Regina; dos Santos, Paulo Vagner; Giraldi, Lais Albuquerque; Zaiat, Marcelo; Calijuri, Maria do Carmo";;;;FEMS MICROBIOLOGY LETTERS;MAY 2018;2018;365;9;;;;;;fny073;10.1093/femsle/fny073;;;5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1
Use of Hydrodynamic Cavitation for Algae Removal: Effect on the Inactivation of Microalgae Belonging to Genus Scenedesmus;"Batista, Marylia Duarte; Borella Marfil Anhe, Ana Carolina; de Souza Inacio Goncalves, Julio Cesar";;;;WATER AIR AND SOIL POLLUTION;NOV 11 2017;2017;228;11;;;;;;443;10.1007/s11270-017-3624-x;;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
Effect of Multi-walled Carbon Nanotubes on Metabolism and Morphology of Filamentous Green Microalgae;"Munk, Michele; Brandao, Humberto M.; Yepremian, Claude; Coute, Alain; Ladeira, Luiz O.; Raposo, Nadia R. B.; Brayner, Roberta";;;;ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY;NOV 2017;2017;73;4;;;;649;658;;10.1007/s00244-017-0429-2;;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1
Nursery of young Litopenaeus vannamei post-larvae reared in.biofloc- and microalgae-based systems;"Schveitzer, Rodrigo; de Lorenzo, Marco Antonio; Vieira, Felipe do Nascimento; Pereira, Scheila Anelise; Mourino, Jose Luiz Pedreira; Seiffert, Walter Quadros; Andreatta, Edemar Roberto";;;;AQUACULTURAL ENGINEERING;AUG 2017;2017;78;;B;;;140;145;;10.1016/j.aquaeng.2017.07.001;;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
Enzymatic biodiesel production from microalgae biomass using propane as pressurized fluid;"Marcon, Naiane Sabedot; Colet, Rosicler; Balen, Darline Simoni; Pereira de Pereira, Claudio Martin; Bibilio, Denise; Priamo, Wagner; Bender, Joao Paulo; Steffens, Clarice; Dalla Rosa, Clarissa";;;;CANADIAN JOURNAL OF CHEMICAL ENGINEERING;JUL 2017;2017;95;7;;;;1340;1344;;10.1002/cjce.22788;;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0
The bioeconomy of microalgal heterotrophic bioreactors applied to agroindustrial wastewater treatment;"dos Santos, Alberto Meireles; Roso, Gabriela Rigo; de Menezes, Cristiano Ragagnin; Queiroz, Maria Isabel; Zepka, Leila Queiroz; Jacob-Lopes, Eduardo";;;;DESALINATION AND WATER TREATMENT;FEB 2017;2017;64;;;;;12;20;;10.5004/dwt.2017.20279;;;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0
Use of the microalga Nannochloropsis occulata in the rearing of newborn longsnout seahorse Hippocampus reidi (Syngnathidae) juveniles;"Silfronio Melo, Roberta Cecilia; de Souza Santos, Lilia Pereira; Morais Brito, Ana Paula; Gouveia, Adriana de Andrade; Marcal, Clebson; Cavalli, Ronaldo Olivera";;;;AQUACULTURE RESEARCH;DEC 2016;2016;47;12;;;;3934;3941;;10.1111/are.12843;;;5;0,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0
Immediate and mid-term effects of pyrimethanil toxicity on microalgae by simulating an episodic contamination;"Shinn, Candida; Delello-Schneider, Danieli; Mendes, Lucas B.; Sanchez, Andre L.; Mueller, Ruth; Espindola, Evaldo L. G.; Araujo, Cristiano V. M.";;;;CHEMOSPHERE;FEB 2015;2015;120;;;;;407;413;;10.1016/j.chemosphere.2014.08.023;;;5;0,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0
Study of photorespiration in marine microalgae through the determination of glycolic acid using hydrophilic interaction liquid chromatography;"Rigobello-Masini, Marilda; Penteado, Jose C. P.; Tiba, Mauricio; Masini, Jorge C.";;;;JOURNAL OF SEPARATION SCIENCE;JAN 2012;2012;35;1;;;;20;28;;10.1002/jssc.201100488;;;5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0
Putative benefits of microalgal astaxanthin on exercise and human health;"Barros, Marcelo P.; Poppe, Sandra C.; Souza-Junior, Tacito P.";;;;REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY;MAR-APR 2011;2011;21;2;;;;283;289;;10.1590/S0102-695X2011005000068;;;5;0,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0
Production of biomass and carbon, hydrogen, nitrogen and protein contents in microalgae;"Ohse, Silvana; Derner, Roberto Bianchini; Ozorio, Renata Avila; Da Costa Braga, Mauricio Villela; Cunha, Paulo; Lamarca, Claudia Pavan; Dos Santos, Marcia Estevao";;;;CIENCIA RURAL;SEP 2009;2009;39;6;;;;1760;1767;;10.1590/S0103-84782009000600019;;;5;0,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0
Characterization of a novel polymeric bioflocculant from marine actinobacterium Streptomyces sp. and its application in recovery of microalgae;"Sivasankar, Palaniappan; Poongodi, Subramaniam; Lobo, Anderson O.; Pugazhendhi, Arivalagan";;;;INTERNATIONAL BIODETERIORATION & BIODEGRADATION;MAR 2020;2020;148;;;;;;;104883;10.1016/j.ibiod.2020.104883;;;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Microalgae carotenoids intake: Influence on cholesterol levels, lipid peroxidation and antioxidant enzymes;"do Nascimento, Tatiele Casagrande; Betim Cazarin, Cinthia Bau; Marostica, Mario Roberto, Jr.; Mercadante, Adriana Zerlotti; Jacob-Lopes, Eduardo; Zepka, Leila Queiroz";;;;FOOD RESEARCH INTERNATIONAL;FEB 2020;2020;128;;;;;;;108770;10.1016/j.foodres.2019.108770;;;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Microalgae harvesting from wastewater by pH modulation and flotation: Assessing and optimizing operational parameters;"Leite, Luan de Souza; dos Santos, Priscila Ribeiro; Daniel, Luiz Antonio";;;;JOURNAL OF ENVIRONMENTAL MANAGEMENT;JAN 15 2020;2020;254;;;;;;;109825;10.1016/j.jenvman.2019.109825;;;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
A comparison of harvesting and drying methodologies on fatty acids composition of the green microalga Scenedesmus obliquus;"Barbosa de Oliveira, Carlos Yure; Viegas, Thayna Lye; Lopes, Rafael Garcia; Cella, Herculano; Menezes, Rafael Silva; Soares, Aline Terra; Antoniosi Filho, Nelson Roberto; Derner, Roberto Bianchini";;;;BIOMASS & BIOENERGY;JAN 2020;2020;132;;;;;;;105437;10.1016/j.biombioe.2019.105437;;;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Carbon biofixation and lipid composition of an acidophilic microalga cultivated on treated wastewater supplied with different CO2 levels;"Neves, Fabio de Farias; Hoinaski, Leonardo; Rorig, Leonardo Rubi; Derner, Roberto Bianchini; Lisboa, Henrique de Melo";;;;ENVIRONMENTAL TECHNOLOGY;NOV 10 2019;2019;40;25;;;;3308;3317;;10.1080/09593330.2018.1471103;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
Microalgae associated to humic acid as a novel biostimulant improving onion growth and yield;"Gemin, Luiz Gabriel; Mogor, Atila Francisco; Amatussi, Juliana De Oliveira; Mogor, Gilda";;;;SCIENTIA HORTICULTURAE;OCT 15 2019;2019;256;;;;;;;108560;10.1016/j.scienta.2019.108560;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
Tolerance to Cyclic Desiccation in Lichen Microalgae is Related to Habitat Preference and Involves Specific Priming of the Antioxidant System;"Hell, Aline F.; Gasulla, Francisco; Gonazalez-Hourcade, Maria; del Campo, Eva M.; Centeno, Danilo C.; Casano, Leonardo M.";;;;PLANT AND CELL PHYSIOLOGY;AUG 2019;2019;60;8;;;;1880;1891;;10.1093/pcp/pcz103;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
Modeling, simulation, and optimization of a microalgae biomass drying process;"Disconzi, Fernanda P.; Balmant, Wellington; Coelho Vargas, Jose Viriato; Peixoto, Pedro H. R.; Taher, Dhyogo M.; Mariano, Andre B.";;;;INTERNATIONAL JOURNAL OF ENERGY RESEARCH;JUN 25 2019;2019;43;8;;;;3421;3435;;10.1002/er.4481;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
Microalgae mixotrophic cultivation for -galactosidase production;"Zanette, Cristina Maria; Mariano, Andre Bellin; Yukawa, Yuri Sussumu; Mendes, Israel; Spier, Michele Rigon";;;;JOURNAL OF APPLIED PHYCOLOGY;JUN 2019;2019;31;3;;;;1597;1606;;10.1007/s10811-018-1720-y;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
Isolation and identification of new microalgae strains with antibacterial activity on food-borne pathogens. Engineering approach to optimize synthesis of desired metabolites;"Schuelter, Adilson Ricken; Kroumov, Alexander Dimitrov; Hinterholz, Camila Larissa; Fiorini, Adriana; Goes Trigueros, Daniela Estelita; Vendruscolo, Eliane Gruska; Zaharieva, Maya Margaritova; Modenes, Aparecido Nivaldo";;;;BIOCHEMICAL ENGINEERING JOURNAL;APR 15 2019;2019;144;;;;;28;39;;10.1016/j.bej.2019.01.007;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0
Drying dynamics of microalgae (Chlorella pyrenoidosa) dispersion droplets;"Biz, Ana Paula; Cardozo-Filho, Lucio; Zanoelo, Everton Fernando";;;;CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION;APR 2019;2019;138;;;;;41;48;;10.1016/j.cep.2019.03.007;;;4;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1
Will temperature and salinity changes exacerbate the effects of seawater acidification on the marine microalga Phaeodactylum tricornutum?;"Bautista-Chamizo, Esther; Sendra, Marta; Cid, Angeles; Seoane, Marta; de Orte, Manoela Romano; Riba, Inmaculada";;;;SCIENCE OF THE TOTAL ENVIRONMENT;SEP 1 2018;2018;634;;;;;87;94;;10.1016/j.scitotenv.2018.03.314;;;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
