Título;Autores;Autorias compartilhadas;Editores;Editores de livros;Título da fonte;Data de publicação;Ano da publicação;Volume;Edição;Número da edição;Suplemento;Edição especial;Página inicial;Página final;Número do artigo;DOI;Título da conferência;Data da conferência;Total de citações;Média por ano;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Optimization of the repeated batch cultivation of microalga Spirulina platensis in open raceway ponds;"Radmann, E. M.; Reinehr, C. O.; Costa, J. A. V.";;;;AQUACULTURE;MAY 1 2007;2007;265;1-4;;;;118;126;;10.1016/j.aquaculture.2007.02.001;;;82;5,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;7;9;9;3;11;10;8;3;10;2;0
Influence of Biogas Flow Rate on Biomass Composition During the Optimization of Biogas Upgrading in Microalgal-Bacterial Processes;"Serejo, Mayara L.; Posadas, Esther; Boncz, Marc A.; Blanco, Saul; Garcia-Encina, Pedro; Munoz, Raul";;;;ENVIRONMENTAL SCIENCE & TECHNOLOGY;MAR 3 2015;2015;49;5;;;;3228;3236;;10.1021/es5056116;;;81;11,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;15;18;17;14;0
Effects of different nitrogen sources on the growth and biochemical profile of 10 marine microalgae in batch culture: an evaluation for aquaculture;"Lourenco, SO; Barbarino, E; Mancini-Filho, J; Schinke, KP; Aidar, E";;;;PHYCOLOGIA;MAR 2002;2002;41;2;;;;158;168;;10.2216/i0031-8884-41-2-158.1;;;80;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;6;1;4;2;4;2;3;8;6;6;11;4;5;5;6;0
Fast microwave-assisted pyrolysis of microalgae using microwave absorbent and HZSM-5 catalyst;"Borges, Fernanda Cabral; Xie, Qinglong; Min, Min; Rezende Muniz, Luis Antonio; Farenzena, Marcelo; Trierweiler, Jorge Otavio; Chen, Paul; Ruan, Roger";;;;BIORESOURCE TECHNOLOGY;AUG 2014;2014;166;;;;;518;526;;10.1016/j.biortech.2014.05.100;;;78;9,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;17;14;13;20;2
Effects of cadmium on growth and superoxide dismutase activity of the marine microalga Tetraselmis gracilis (Prasinophyceae);"Okamoto, OK; Asano, CS; Aidar, E; Colepicolo, P";;;;JOURNAL OF PHYCOLOGY;FEB 1996;1996;32;1;;;;74;79;;10.1111/j.0022-3646.1996.00074.x;;;74;2,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;2;6;5;4;3;6;7;3;3;4;5;1;1;4;3;3;4;0;1;2;1;0
Microalgae as a new source of bioactive compounds in food supplements;"Vaz, Bruna da Silva; Moreira, Juliana Botelho; de Morais, Michele Greque; Vieira Costa, Jorge Alberto";;;;CURRENT OPINION IN FOOD SCIENCE;FEB 2016;2016;7;;;;;73;77;;10.1016/j.cofs.2015.12.006;;;73;12,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;25;33;0
From waste to energy: Microalgae production in wastewater and glycerol;"Dominguez Cabanelas, Iago Teles; Arbib, Zouhayr; Chinalia, Fabio A.; Souza, Carolina Oliveira; Perales, Jose A.; Almeida, Paulo Fernando; Druzian, Janice Izabel; Nascimento, Iracema Andrade";;;;APPLIED ENERGY;SEP 2013;2013;109;;;;SI;283;290;;10.1016/j.apenergy.2013.04.023;;;71;7,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;13;8;11;14;10;7;0
Microalgae biomass production using wastewater: Treatment and costs Scale-up considerations;"Gouveia, Luisa; Graca, Sofia; Sousa, Catarina; Ambrosano, Lucas; Ribeiro, Belina; Botrel, Elberis P.; Neto, Pedro Castro; Ferreira, Ana F.; Silva, Carla M.";;;;ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS;JUN 2016;2016;16;;;;;167;176;;10.1016/j.algal.2016.03.010;;;68;11,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;11;19;18;1
Effects of inoculum size, light intensity, and dose of anaerobic digestion centrate on growth and productivity of Chlorella and Scenedesmus microalgae and their poly-culture in primary and secondary wastewater;"Bohutskyi, Pavlo; Kligerman, Debora Cynamon; Byers, Natalie; Nasr, Laila Khaled; Cua, Celine; Chow, Steven; Su, Chunyang; Tang, Yuting; Betenbaugh, Michael J.; Bouwer, Edward J.";;;;ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS;NOV 2016;2016;19;;;;;278;290;;10.1016/j.algal.2016.09.010;;;59;9,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;16;23;1
Enhancement of nutrient removal from swine wastewater digestate coupled to biogas purification by microalgae Scenedesmus spp.;"Prandini, Jean Michel; Busi da Silva, Marcio Luis; Mezzari, Melissa Paola; Pirolli, Mateus; Michelon, William; Soares, Hugo Moreira";;;;BIORESOURCE TECHNOLOGY;FEB 2016;2016;202;;;;;67;75;;10.1016/j.biortech.2015.11.082;;;59;9,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;16;16;13;1
